colour	x	y	key	showSelected1	showSelected2	showSelected3	PANEL	fill
#00BFFF	25.5	0	1	10	34	OPART	2	#00BFFF
#00BFFF	25.5	0	1	10	35	OPART	2	#00BFFF
#00BFFF	25.5	0	1	10	36	OPART	2	#00BFFF
#00BFFF	25.5	0	1	10	37	OPART	2	#00BFFF
#00BFFF	25.5	0	1	10	38	OPART	2	#00BFFF
#00BFFF	25.5	0	1	10	39	OPART	2	#00BFFF
#00BFFF	25.5	0	1	10	40	OPART	2	#00BFFF
#00BFFF	25.5	0	1	10	41	OPART	2	#00BFFF
#00BFFF	25.5	0	1	10	42	OPART	2	#00BFFF
#00BFFF	25.5	0	1	10	43	OPART	2	#00BFFF
#00BFFF	25.5	0	1	10	44	OPART	2	#00BFFF
#00BFFF	25.5	0	1	10	45	OPART	2	#00BFFF
#00BFFF	25.5	0	1	10	46	OPART	2	#00BFFF
#00BFFF	25.5	0	1	10	47	OPART	2	#00BFFF
#00BFFF	25.5	0	1	10	48	OPART	2	#00BFFF
#00BFFF	25.5	0	1	10	49	OPART	2	#00BFFF
#00BFFF	25.5	0	1	10	50	OPART	2	#00BFFF
#00BFFF	25.5	0	1	10	51	OPART	2	#00BFFF
#00BFFF	51.5	0	1	10	52	OPART	2	#00BFFF
#00BFFF	25.5	0	1	10	53	OPART	2	#00BFFF
#00BFFF	51.5	0	1	10	54	OPART	2	#00BFFF
#00BFFF	25.5	0	1	10	55	OPART	2	#00BFFF
#00BFFF	25.5	0	1	10	56	OPART	2	#00BFFF
#00BFFF	25.5	0	1	10	57	OPART	2	#00BFFF
#00BFFF	43.5	0	1	10	58	OPART	2	#00BFFF
#00BFFF	43.5	0	1	10	59	OPART	2	#00BFFF
#00BFFF	51.5	0	1	10	60	OPART	2	#00BFFF
#00BFFF	43.5	0	1	10	61	OPART	2	#00BFFF
#00BFFF	51.5	0	1	10	62	OPART	2	#00BFFF
#00BFFF	51.5	0	1	10	63	OPART	2	#00BFFF
#00BFFF	51.5	0	1	10	64	OPART	2	#00BFFF
#00BFFF	51.5	0	1	10	65	OPART	2	#00BFFF
#00BFFF	43.5	0	1	10	66	OPART	2	#00BFFF
#00BFFF	43.5	0	1	10	67	OPART	2	#00BFFF
#00BFFF	43.5	0	1	10	68	OPART	2	#00BFFF
#00BFFF	43.5	0	1	10	69	OPART	2	#00BFFF
#00BFFF	43.5	0	1	10	70	OPART	2	#00BFFF
#00BFFF	43.5	0	1	10	71	OPART	2	#00BFFF
#00BFFF	43.5	0	1	10	72	OPART	2	#00BFFF
#00BFFF	43.5	0	1	10	73	OPART	2	#00BFFF
#00BFFF	43.5	0	1	10	74	OPART	2	#00BFFF
#00BFFF	43.5	0	1	10	75	OPART	2	#00BFFF
#00BFFF	75.5	0	1	10	76	OPART	2	#00BFFF
#00BFFF	75.5	0	1	10	77	OPART	2	#00BFFF
#00BFFF	75.5	0	1	10	78	OPART	2	#00BFFF
#00BFFF	75.5	0	1	10	79	OPART	2	#00BFFF
#00BFFF	75.5	0	1	10	80	OPART	2	#00BFFF
#00BFFF	75.5	0	1	10	81	OPART	2	#00BFFF
#00BFFF	75.5	0	1	10	82	OPART	2	#00BFFF
#00BFFF	75.5	0	1	10	83	OPART	2	#00BFFF
#00BFFF	75.5	0	1	10	84	OPART	2	#00BFFF
#00BFFF	75.5	0	1	10	85	OPART	2	#00BFFF
#00BFFF	85.5	0	1	10	86	OPART	2	#00BFFF
#00BFFF	86.5	0	1	10	87	OPART	2	#00BFFF
#00BFFF	86.5	0	1	10	88	OPART	2	#00BFFF
#00BFFF	86.5	0	1	10	89	OPART	2	#00BFFF
#00BFFF	86.5	0	1	10	90	OPART	2	#00BFFF
#00BFFF	86.5	0	1	10	91	OPART	2	#00BFFF
#00BFFF	86.5	0	1	10	92	OPART	2	#00BFFF
#00BFFF	86.5	0	1	10	93	OPART	2	#00BFFF
#00BFFF	86.5	0	1	10	94	OPART	2	#00BFFF
#00BFFF	86.5	0	1	10	95	OPART	2	#00BFFF
#00BFFF	86.5	0	1	10	96	OPART	2	#00BFFF
#00BFFF	86.5	0	1	10	97	OPART	2	#00BFFF
#00BFFF	86.5	0	1	10	98	OPART	2	#00BFFF
